Dist Code,Year,State Code,State Name,Dist Name,RICE IRRIGATED AREA (1000 ha),irrig_clean
165,1990,9,Punjab,Gurdaspur,173.1,173.1
165,1991,9,Punjab,Gurdaspur,162.6,162.6
165,1992,9,Punjab,Gurdaspur,166.3,166.3
165,1993,9,Punjab,Gurdaspur,172.7,172.7
165,1994,9,Punjab,Gurdaspur,174.8,174.8
165,1995,9,Punjab,Gurdaspur,190.0,190.0
165,1996,9,Punjab,Gurdaspur,170.0,170.0
165,1997,9,Punjab,Gurdaspur,164.9,164.9
165,1998,9,Punjab,Gurdaspur,170.3,170.3
165,1999,9,Punjab,Gurdaspur,182.0,182.0
165,2000,9,Punjab,Gurdaspur,176.12,176.12
165,2001,9,Punjab,Gurdaspur,179.53,179.53
165,2002,9,Punjab,Gurdaspur,177.25,177.25
165,2003,9,Punjab,Gurdaspur,180.24,180.24
165,2004,9,Punjab,Gurdaspur,191.23,191.23
165,2005,9,Punjab,Gurdaspur,178.0,178.0
165,2006,9,Punjab,Gurdaspur,189.44,189.44
165,2007,9,Punjab,Gurdaspur,180.44,180.44
165,2008,9,Punjab,Gurdaspur,188.27,188.27
165,2009,9,Punjab,Gurdaspur,192.45,192.45
165,2010,9,Punjab,Gurdaspur,192.9,192.9
165,2011,9,Punjab,Gurdaspur,169.98,169.98
165,2012,9,Punjab,Gurdaspur,170.46,170.46
165,2013,9,Punjab,Gurdaspur,169.11,169.11
165,2014,9,Punjab,Gurdaspur,169.49,169.49
165,2015,9,Punjab,Gurdaspur,172.66,172.66
165,2016,9,Punjab,Gurdaspur,172.57,172.57
165,2017,9,Punjab,Gurdaspur,165.49,165.49
165,2018,9,Punjab,Gurdaspur,168.891,168.891
165,2019,9,Punjab,Gurdaspur,170.573,170.573
166,1990,9,Punjab,Amritsar,278.2,278.2
166,1991,9,Punjab,Amritsar,283.6,283.6
166,1992,9,Punjab,Amritsar,286.0,286.0
166,1993,9,Punjab,Amritsar,288.9,288.9
166,1994,9,Punjab,Amritsar,297.8,297.8
166,1995,9,Punjab,Amritsar,304.2,304.2
166,1996,9,Punjab,Amritsar,286.0,286.0
166,1997,9,Punjab,Amritsar,292.2,292.2
166,1998,9,Punjab,Amritsar,304.59,304.59
166,1999,9,Punjab,Amritsar,316.66,316.66
166,2000,9,Punjab,Amritsar,317.97,317.97
166,2001,9,Punjab,Amritsar,318.94,318.94
166,2002,9,Punjab,Amritsar,310.96,310.96
166,2003,9,Punjab,Amritsar,326.1,326.1
166,2004,9,Punjab,Amritsar,333.88,333.88
166,2005,9,Punjab,Amritsar,178.49,178.49
166,2006,9,Punjab,Amritsar,178.45,178.45
166,2007,9,Punjab,Amritsar,178.0,178.0
166,2008,9,Punjab,Amritsar,183.19,183.19
166,2009,9,Punjab,Amritsar,185.19,185.19
166,2010,9,Punjab,Amritsar,186.3,186.3
166,2011,9,Punjab,Amritsar,183.58,183.58
166,2012,9,Punjab,Amritsar,184.77,184.77
166,2013,9,Punjab,Amritsar,181.76,181.76
166,2014,9,Punjab,Amritsar,182.37,182.37
166,2015,9,Punjab,Amritsar,180.77,180.77
166,2016,9,Punjab,Amritsar,179.51,179.51
166,2017,9,Punjab,Amritsar,179.51,179.51
166,2018,9,Punjab,Amritsar,179.514,179.514
166,2019,9,Punjab,Amritsar,180.964,180.964
167,1990,9,Punjab,Kapurthala,97.1,97.1
167,1991,9,Punjab,Kapurthala,97.0,97.0
167,1992,9,Punjab,Kapurthala,96.8,96.8
167,1993,9,Punjab,Kapurthala,101.7,101.7
167,1994,9,Punjab,Kapurthala,100.9,100.9
167,1995,9,Punjab,Kapurthala,102.3,102.3
