"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)"
"96","1990","7","Maharashtra","Thane","149.5"
"96","1991","7","Maharashtra","Thane","150.6"
"96","1992","7","Maharashtra","Thane","147.3"
"96","1993","7","Maharashtra","Thane","148.2"
"96","1994","7","Maharashtra","Thane","153.2"
"96","1995","7","Maharashtra","Thane","143.2"
"96","1996","7","Maharashtra","Thane","151.2"
"96","1997","7","Maharashtra","Thane","151.8"
"96","1998","7","Maharashtra","Thane","142.1"
"96","1999","7","Maharashtra","Thane","141.8"
"96","2000","7","Maharashtra","Thane","141.7"
"96","2001","7","Maharashtra","Thane","141.0"
"96","2002","7","Maharashtra","Thane","140.4"
"96","2003","7","Maharashtra","Thane","140.9"
"96","2004","7","Maharashtra","Thane","141.0"
"96","2005","7","Maharashtra","Thane","139.5"
"96","2006","7","Maharashtra","Thane","140.2"
"96","2007","7","Maharashtra","Thane","140.6"
"96","2008","7","Maharashtra","Thane","140.6"
"96","2009","7","Maharashtra","Thane","138.6"
"96","2010","7","Maharashtra","Thane","138.3"
"96","2011","7","Maharashtra","Thane","140.4"
"96","2012","7","Maharashtra","Thane","139.6"
"96","2013","7","Maharashtra","Thane","139.6"
"96","2014","7","Maharashtra","Thane","58.0"
"96","2015","7","Maharashtra","Thane","55.4"
"96","2016","7","Maharashtra","Thane","55.1"
"96","2017","7","Maharashtra","Thane","54.75"
"96","2018","7","Maharashtra","Thane","54.92"
"96","2019","7","Maharashtra","Thane","55.27"
"97","1990","7","Maharashtra","Raigarh","152.4"
"97","1991","7","Maharashtra","Raigarh","150.4"
"97","1992","7","Maharashtra","Raigarh","139.0"
"97","1993","7","Maharashtra","Raigarh","138.5"
"97","1994","7","Maharashtra","Raigarh","146.1"
"97","1995","7","Maharashtra","Raigarh","146.4"
"97","1996","7","Maharashtra","Raigarh","142.4"
"97","1997","7","Maharashtra","Raigarh","139.0"
"97","1998","7","Maharashtra","Raigarh","135.4"
"97","1999","7","Maharashtra","Raigarh","135.7"
"97","2000","7","Maharashtra","Raigarh","134.7"
"97","2001","7","Maharashtra","Raigarh","133.7"
"97","2002","7","Maharashtra","Raigarh","133.2"
"97","2003","7","Maharashtra","Raigarh","133.1"
"97","2004","7","Maharashtra","Raigarh","133.0"
"97","2005","7","Maharashtra","Raigarh","129.5"
"97","2006","7","Maharashtra","Raigarh","132.2"
"97","2007","7","Maharashtra","Raigarh","133.1"
"97","2008","7","Maharashtra","Raigarh","132.3"
"97","2009","7","Maharashtra","Raigarh","130.4"
"97","2010","7","Maharashtra","Raigarh","126.2"
"97","2011","7","Maharashtra","Raigarh","126.8"
"97","2012","7","Maharashtra","Raigarh","127.9"
"97","2013","7","Maharashtra","Raigarh","127.9"
"97","2014","7","Maharashtra","Raigarh","125.3"
"97","2015","7","Maharashtra","Raigarh","115.6"
"97","2016","7","Maharashtra","Raigarh","113.3"
"97","2017","7","Maharashtra","Raigarh","114.24"
"97","2018","7","Maharashtra","Raigarh","114.08"
"97","2019","7","Maharashtra","Raigarh","98.9"
"98","1990","7","Maharashtra","Ratnagiri","82.5"
"98","1991","7","Maharashtra","Ratnagiri","82.7"
"98","1992","7","Maharashtra","Ratnagiri","82.2"
"98","1993","7","Maharashtra","Ratnagiri","82.5"
"98","1994","7","Maharashtra","Ratnagiri","81.6"
"98","1995","7","Maharashtra","Ratnagiri","83.4"
"98","1996","7","Maharashtra","Ratnagiri","79.8"
"98","1997","7","Maharashtra","Ratnagiri","79.4"
"98","1998","7","Maharashtra","Ratnagiri","78.8"
"98","1999","7","Maharashtra","Ratnagiri","79.9"
"98","2000","7","Maharashtra","Ratnagiri","78.8"
"98","2001","7","Maharashtra","Ratnagiri","78.7"
"98","2002","7","Maharashtra","Ratnagiri","78.8"
"98","2003","7","Maharashtra","Ratnagiri","79.4"
"98","2004","7","Maharashtra","Ratnagiri","79.3"
"98","2005","7","Maharashtra","Ratnagiri","77.2"
"98","2006","7","Maharashtra","Ratnagiri","78.0"
"98","2007","7","Maharashtra","Ratnagiri","76.8"
"98","2008","7","Maharashtra","Ratnagiri","77.5"
"98","2009","7","Maharashtra","Ratnagiri","77.4"
"98","2010","7","Maharashtra","Ratnagiri","78.1"
"98","2011","7","Maharashtra","Ratnagiri","77.5"
"98","2012","7","Maharashtra","Ratnagiri","73.9"
"98","2013","7","Maharashtra","Ratnagiri","72.1"
"98","2014","7","Maharashtra","Ratnagiri","72.5"
"98","2015","7","Maharashtra","Ratnagiri","71.0"
"98","2016","7","Maharashtra","Ratnagiri","75.34"
"98","2017","7","Maharashtra","Ratnagiri","75.23"
"98","2018","7","Maharashtra","Ratnagiri","76.12"
"98","2019","7","Maharashtra","Ratnagiri","75.41"
"99","1990","7","Maharashtra","Nasik","39.5"
"99","1991","7","Maharashtra","Nasik","41.5"
"99","1992","7","Maharashtra","Nasik","41.8"
"99","1993","7","Maharashtra","Nasik","46.1"
"99","1994","7","Maharashtra","Nasik","44.7"
"99","1995","7","Maharashtra","Nasik","38.7"
"99","1996","7","Maharashtra","Nasik","42.0"
"99","1997","7","Maharashtra","Nasik","44.2"
"99","1998","7","Maharashtra","Nasik","45.6"
"99","1999","7","Maharashtra","Nasik","47.8"
"99","2000","7","Maharashtra","Nasik","45.6"
"99","2001","7","Maharashtra","Nasik","46.6"
"99","2002","7","Maharashtra","Nasik","49.1"
"99","2003","7","Maharashtra","Nasik","50.6"
"99","2004","7","Maharashtra","Nasik","50.8"
"99","2005","7","Maharashtra","Nasik","50.3"
"99","2006","7","Maharashtra","Nasik","49.0"
"99","2007","7","Maharashtra","Nasik","50.6"
"99","2008","7","Maharashtra","Nasik","51.2"
"99","2009","7","Maharashtra","Nasik","48.1"
"99","2010","7","Maharashtra","Nasik","59.1"
"99","2011","7","Maharashtra","Nasik","62.9"
"99","2012","7","Maharashtra","Nasik","67.9"
"99","2013","7","Maharashtra","Nasik","72.6"
"99","2014","7","Maharashtra","Nasik","71.2"
"99","2015","7","Maharashtra","Nasik","69.6"
"99","2016","7","Maharashtra","Nasik","71.9"
"99","2017","7","Maharashtra","Nasik","72.5"
"99","2018","7","Maharashtra","Nasik","74.05"
"99","2019","7","Maharashtra","Nasik","76.29"
"100","1990","7","Maharashtra","Dhule","27.2"
"100","1991","7","Maharashtra","Dhule","26.2"
"100","1992","7","Maharashtra","Dhule","26.5"
"100","1993","7","Maharashtra","Dhule","33.3"
"100","1994","7","Maharashtra","Dhule","30.8"
"100","1995","7","Maharashtra","Dhule","29.2"
"100","1996","7","Maharashtra","Dhule","28.5"
"100","1997","7","Maharashtra","Dhule","32.4"
"100","1998","7","Maharashtra","Dhule","10.3"
"100","1999","7","Maharashtra","Dhule","4.9"
"100","2000","7","Maharashtra","Dhule","4.9"
"100","2001","7","Maharashtra","Dhule","4.9"
"100","2002","7","Maharashtra","Dhule","5.2"
"100","2003","7","Maharashtra","Dhule","5.0"
"100","2004","7","Maharashtra","Dhule","5.1"
"100","2005","7","Maharashtra","Dhule","5.1"
"100","2006","7","Maharashtra","Dhule","5.1"
"100","2007","7","Maharashtra","Dhule","4.4"
"100","2008","7","Maharashtra","Dhule","5.4"
"100","2009","7","Maharashtra","Dhule","4.9"
"100","2010","7","Maharashtra","Dhule","5.0"
"100","2011","7","Maharashtra","Dhule","7.9"
"100","2012","7","Maharashtra","Dhule","7.7"
"100","2013","7","Maharashtra","Dhule","7.7"
"100","2014","7","Maharashtra","Dhule","0.1"
"100","2015","7","Maharashtra","Dhule","2.3"
"100","2016","7","Maharashtra","Dhule","6.4"
"100","2017","7","Maharashtra","Dhule","7.0"
"100","2018","7","Maharashtra","Dhule","6.87"
"100","2019","7","Maharashtra","Dhule","6.84"
"101","1990","7","Maharashtra","Jalgaon","5.7"
"101","1991","7","Maharashtra","Jalgaon","6.7"
"101","1992","7","Maharashtra","Jalgaon","1.7"
"101","1993","7","Maharashtra","Jalgaon","1.2"
"101","1994","7","Maharashtra","Jalgaon","1.1"
"101","1995","7","Maharashtra","Jalgaon","1.6"
"101","1996","7","Maharashtra","Jalgaon","1.7"
"101","1997","7","Maharashtra","Jalgaon","1.7"
"101","1998","7","Maharashtra","Jalgaon","1.8"
"101","1999","7","Maharashtra","Jalgaon","1.8"
"101","2000","7","Maharashtra","Jalgaon","1.7"
"101","2001","7","Maharashtra","Jalgaon","1.2"
"101","2002","7","Maharashtra","Jalgaon","0.9"
"101","2003","7","Maharashtra","Jalgaon","0.9"
"101","2004","7","Maharashtra","Jalgaon","0.4"
"101","2005","7","Maharashtra","Jalgaon","0.2"
"101","2006","7","Maharashtra","Jalgaon","0.1"
"101","2007","7","Maharashtra","Jalgaon","0.1"
"101","2008","7","Maharashtra","Jalgaon","0.0"
"101","2009","7","Maharashtra","Jalgaon","0.2"
"101","2010","7","Maharashtra","Jalgaon","0.0"
"101","2011","7","Maharashtra","Jalgaon","0.2"
"101","2012","7","Maharashtra","Jalgaon","0.03"
"101","2013","7","Maharashtra","Jalgaon","0.0"
"101","2014","7","Maharashtra","Jalgaon","0.0"
"101","2015","7","Maharashtra","Jalgaon","0.0"
"101","2016","7","Maharashtra","Jalgaon","0.0"
"101","2017","7","Maharashtra","Jalgaon","0.0"
"101","2018","7","Maharashtra","Jalgaon","0.0"
"101","2019","7","Maharashtra","Jalgaon","0.0"
"102","1990","7","Maharashtra","Ahmednagar","7.5"
"102","1991","7","Maharashtra","Ahmednagar","4.9"
"102","1992","7","Maharashtra","Ahmednagar","8.1"
"102","1993","7","Maharashtra","Ahmednagar","7.6"
"102","1994","7","Maharashtra","Ahmednagar","6.8"
"102","1995","7","Maharashtra","Ahmednagar","5.8"
"102","1996","7","Maharashtra","Ahmednagar","5.7"
"102","1997","7","Maharashtra","Ahmednagar","10.3"
"102","1998","7","Maharashtra","Ahmednagar","5.6"
"102","1999","7","Maharashtra","Ahmednagar","5.7"
"102","2000","7","Maharashtra","Ahmednagar","5.5"
"102","2001","7","Maharashtra","Ahmednagar","7.3"
"102","2002","7","Maharashtra","Ahmednagar","7.4"
"102","2003","7","Maharashtra","Ahmednagar","7.6"
"102","2004","7","Maharashtra","Ahmednagar","8.0"
"102","2005","7","Maharashtra","Ahmednagar","8.0"
"102","2006","7","Maharashtra","Ahmednagar","8.4"
"102","2007","7","Maharashtra","Ahmednagar","8.6"
"102","2008","7","Maharashtra","Ahmednagar","9.3"
"102","2009","7","Maharashtra","Ahmednagar","7.4"
"102","2010","7","Maharashtra","Ahmednagar","7.5"
"102","2011","7","Maharashtra","Ahmednagar","7.9"
"102","2012","7","Maharashtra","Ahmednagar","7.5"
"102","2013","7","Maharashtra","Ahmednagar","7.9"
"102","2014","7","Maharashtra","Ahmednagar","8.6"
"102","2015","7","Maharashtra","Ahmednagar","14.0"
"102","2016","7","Maharashtra","Ahmednagar","15.0"
"102","2017","7","Maharashtra","Ahmednagar","16.2"
